,time,open,high,low,close,volume,MA50,MA200,sup,Buy_signal,Sell_signal
783,2016-03-03,25820,26220,25820,26110,775150,21661.8,27610.835,23576.52258,0,0
784,2016-03-04,25980,26800,25870,26740,1085350,21759,27566.585,23842.01936,0,0
785,2016-03-07,27660,28580,27550,28520,1965600,21895,27532.635,25139.58802,0,0
786,2016-03-08,28870,29740,27720,27830,1734860,22027.8,27492.435,25356.78973,0,0
787,2016-03-09,27200,27890,27200,27370,978270,22148.8,27449.935,25356.78973,0,0
788,2016-03-10,28070,28290,27600,27890,896680,22279.2,27411.435,25356.78973,0,0
789,2016-03-11,27890,27950,27550,27780,926390,22403,27373.785,25356.78973,0,0
790,2016-03-14,27950,28120,27780,27830,535200,22526.4,27333.585,25360.67034,0,0
791,2016-03-15,27550,27550,26740,26860,1433850,22638.6,27291.335,25360.67034,0,0
792,2016-03-16,26910,27260,26800,27090,609350,22758.8,27251.685,25360.67034,0,0
793,2016-03-17,28710,28770,28290,28290,1231580,22903,27219.435,25667.21514,0,0
794,2016-03-18,28710,28710,27870,27870,739470,23042.4,27182.235,25667.21514,0,0
795,2016-03-21,27750,27870,27140,27140,670640,23167.2,27142.835,25667.21514,0,0
796,2016-03-22,27570,28050,26900,27450,1011840,23299.2,27099.335,25667.21514,0,0
797,2016-03-23,27450,28050,27380,27990,612230,23439.8,27059.935,25667.21514,0,0
798,2016-03-24,27620,27750,27210,27210,855580,23585.6,27019.435,25667.21514,0,0
799,2016-03-25,27090,27380,26970,27270,750070,23726.8,26976.435,25667.21514,0,0
800,2016-03-28,27320,27450,27140,27270,273940,23868,26926.385,25667.21514,0,0
801,2016-03-29,27090,27090,26240,26240,824770,23992,26871.185,25667.21514,0,0
802,2016-03-30,26120,26420,25820,25930,607540,24106.4,26817.235,25667.21514,0,0
803,2016-03-31,25820,25820,24730,24730,814690,24203.6,26761.535,27742.44518,0,1
804,2016-04-01,24730,25160,24670,25030,470820,24308,26708.735,27239.95301,0,0
805,2016-04-04,24250,25030,24250,24370,697070,24427,26652.635,26967.10258,0,0
806,2016-04-05,24120,24730,23880,24730,813570,24553.2,26598.335,26663.94507,0,0
807,2016-04-06,25400,25930,25220,25930,844500,24717.4,26548.635,26663.94507,0,0
808,2016-04-07,26610,26850,26300,26610,1021450,24903.2,26502.335,26663.94507,0,0
809,2016-04-08,27450,27450,26370,26610,693050,25065.8,26456.035,26663.94507,0,0
810,2016-04-11,27270,27570,27090,27140,968630,25213.6,26415.185,24634.99258,1,0
811,2016-04-12,27140,27510,27140,27450,914510,25352.6,26377.335,24856.42221,0,0
812,2016-04-13,27930,28350,27570,27870,1273840,25488.4,26338.735,25458.3619,0,0
813,2016-04-14,27450,27930,27450,27690,714940,25618.4,26302.085,25458.3619,0,0
814,2016-04-15,27750,28230,27750,27930,880220,25724.2,26266.635,25744.3067,0,0
815,2016-04-19,27140,27210,26610,26720,1543460,25825.4,26222.285,25744.3067,0,0
816,2016-04-20,27020,27090,26780,27020,859070,25950,26178.035,25744.3067,0,0
817,2016-04-21,27620,28710,27570,28710,1430930,26083,26137.985,25744.3067,0,0
818,2016-04-22,28350,29860,28350,29860,2152670,26241.2,26103.685,26152.11849,0,0
819,2016-04-25,29920,29920,29140,29140,692070,26385,26070.035,26664.67299,0,0
820,2016-04-26,28950,29860,28770,29860,841390,26541,26041.385,26664.67299,0,0
821,2016-04-27,30770,31370,30160,30470,1114170,26688.4,26017.185,27612.31077,0,0
822,2016-04-28,30770,31670,30470,30770,1261820,26848.8,25991.685,27853.40923,0,0
823,2016-04-29,31070,31370,30470,30770,583190,26982.6,25967.585,27853.40923,0,0
824,2016-05-04,29560,30470,29430,30470,1295780,27101,25943.385,27853.40923,0,0
825,2016-05-05,30470,31070,30160,30160,536180,27208.8,25919.085,27853.40923,0,0
